,order_date,sales_qty,sales_amount,currency,user_id,r_id
0,2017-10-10,100,41241,INR,49226,567335.0
1,2018-05-08,3,-1,INR,77359,531342.0
2,2018-04-06,1,875,INR,5321,158203.0
3,2018-04-11,1,583,INR,21343,187912.0
4,2018-06-18,6,7176,INR,75378,543530.0
5,2017-11-20,59,500,USD,34323,158204.0
6,2017-11-22,36,250,USD,33246,156588.0
7,2017-11-23,39,21412,INR,87420,244866.0
8,2017-11-27,35,19213,INR,31017,156602.0
9,2017-11-28,310,170185,INR,72391,158193.0
10,2017-11-29,184,101194,INR,91457,407249.0
11,2017-11-30,35,19213,INR,33851,156590.0
12,2017-11-29,17,9426,INR,27008,338749.0
13,2017-12-19,1,218,INR,47798,156601.0
14,2018-08-07,5,3093,INR,58443,156587.0
15,2017-12-04,58,30306,INR,32969,158192.0
16,2018-06-29,38,52319,INR,29585,394554.0
17,2018-07-02,93,126296,INR,29210,158195.0
18,2018-07-03,79,107500,INR,44025,257181.0
19,2018-07-04,1,273,INR,81729,530909.0
20,2018-07-06,3,3574,INR,55846,573649.0
21,2018-07-13,1,273,INR,56648,573656.0
22,2019-06-07,20,23403,INR,7018,420675.0
23,2019-07-29,81,76329,INR,29312,427610.0
24,2019-08-01,5,4542,INR,68553,435582.0
25,2019-09-19,18,16579,INR,5753,382204.0
26,2019-09-27,90,105301,INR,80146,460692.0
27,2017-10-09,1,185,INR,41882,368328.0
28,2017-10-13,1,556,INR,572,530878.0
29,2017-10-27,1,551,INR,53990,171675.0
30,2017-11-03,1,167,INR,22718,475283.0
31,2017-11-06,1,333,INR,40886,421155.0
32,2017-11-10,1,500,INR,90799,545273.0
33,2017-11-16,1,333,INR,59075,440811.0
34,2017-11-17,1,333,INR,79488,420586.0
35,2017-11-27,1,500,INR,9738,448046.0
36,2017-12-04,1,833,INR,61303,187921.0
37,2017-12-08,1,167,INR,70795,551512.0
38,2017-12-11,1,833,INR,25283,351387.0
39,2017-12-18,1,1000,INR,38951,432675.0
40,2017-12-27,2,1833,INR,63358,302868.0
41,2017-12-28,1,167,INR,23510,567664.0
42,2018-01-05,1,167,INR,55123,440878.0
43,2018-01-08,1,833,INR,76741,161396.0
44,2018-01-22,1,167,INR,26983,382249.0
45,2018-02-21,26,10657,INR,56760,161408.0
46,2018-02-23,1,167,INR,86455,432684.0
47,2018-08-03,1,157,INR,7541,459776.0
48,2018-08-24,1,315,INR,8337,459775.0
49,2018-09-21,1,630,INR,19898,420637.0
50,2018-09-28,1,315,INR,69665,420479.0
51,2018-11-09,1,157,INR,33769,427606.0
52,2018-11-16,1,472,INR,3237,531363.0
53,2018-12-07,1,157,INR,80649,156592.0
54,2018-12-14,1,157,INR,64737,373319.0
55,2019-01-25,1,315,INR,49747,508318.0
56,2019-02-01,1,157,INR,1056,407243.0
57,2019-02-08,1,472,INR,30521,187915.0
58,2019-02-15,1,472,INR,76940,461724.0
59,2019-02-22,1,315,INR,90825,156542.0
60,2019-03-01,1,472,INR,41955,161405.0
61,2019-03-08,1,315,INR,33728,462070.0
62,2019-03-15,1,157,INR,12452,224008.0
63,2019-03-22,1,315,INR,40286,165533.0
64,2019-03-29,1,315,INR,53063,225827.0
65,2019-04-05,1,315,INR,64787,242943.0
66,2019-04-12,1,787,INR,60994,186286.0
67,2019-04-23,1,630,INR,39802,166613.0
68,2019-04-29,1,472,INR,22088,500628.0
69,2019-05-06,1,315,INR,22337,186289.0
70,2019-05-10,1,787,INR,6861,165532.0
71,2019-05-17,1,1102,INR,20697,169281.0
72,2019-06-03,1,787,INR,85734,408059.0
73,2019-06-07,1,157,INR,5550,529171.0
74,2019-06-17,1,315,INR,47992,517814.0
75,2019-06-24,1,315,INR,49789,167432.0
76,2019-06-28,1,315,INR,94710,166971.0
77,2019-07-05,1,472,INR,4533,516171.0
78,2019-07-12,1,630,INR,97525,226299.0
79,2019-07-19,1,944,INR,38862,374706.0
80,2019-07-26,2,1417,INR,94083,473193.0
81,2019-08-02,2,1417,INR,70963,167412.0
82,2019-08-09,1,787,INR,1256,503717.0
83,2019-08-16,1,1259,INR,86135,165530.0
84,2019-09-02,2,1574,INR,56042,255925.0
85,2019-09-03,1,630,INR,24835,225921.0
86,2019-09-06,1,157,INR,86873,549242.0
